word1	word2	mean(remove_extreme_annotator)
そんなに	大して	7
もう	今や	5
びっしり	大量に	7
現在	現在では	8.6
よく	時折	4.2
きっぱり	絶対に	5.8
多くが	総じて	6.8
今や	もはや	5.8
ひたすら	ただただ	7.6
そのまま	丸ごと	5.4
きっぱり	きっぱりと	8.8
総じて	おしなべて	7.6
総合的に	全体として	8
さらに	一段と	7.4
昨今や	現在や	4.8
たいして	さほどは	7.6
にこやかに	にんまり	5.2
きっぱりと	断固	7.2
何とか	ようやく	7.4
全体として	概して	7.6
当然	無論	7.8
今	実際	3.6
今では	今日では	7.2
どうにか	何とぞ	6.8
度々	しきりに	6.2
やや	多少	6.6
何かと	色々	5.6
にっこり	にこにこ	8.2
どうか	何とぞ	7.8
全体的に	全般的に	7.2
しばしば	まあまあ	6.2
今現在	今や	7.4
しっかり	絶対	5.6
ぐんと	大幅に	7
充分	思い切り	5.6
少々	いささか	6.4
あいにく	生憎	10
何とか	なんとか	10
どうか	何とか	7.2
断じて	毅然と	5.4
現在は	今日では	6.8
なんせ	いかんせん	5.8
絶対に	頑として	7.4
ぐんと	劇的に	7.2
たまに	時折	8
いかにも	さも	7.6
あたかも	まさしく	3.8
なんとも	どうにも	7
今は	もはや	5.6
たくさん	ぎっしりと	7
何しろ	いかんせん	6.8
順に	順次	8.2
少々	少しばかり	7.8
現に	実際	7.6
結局	所詮	7.4
今や	よもや	5.4
時々	度々	3.8
全体的に	概ね	7.2
いかにも	実に	4.2
ずらりと	いっぱい	5
全体として	おしなべて	7
勿論	確実に	5
しょせん	結局は	6.8
かなり	少々	0.8
何とか	辛くも	6.6
たくさん	度々も	6.6
きょうび	現在は	6.4
いまや	もはや	7.2
びっしり	細密に	6
少々	まあまあ	5.8
何かと	色々と	6.8
ぐっと	いっそう	4.6
実に	すっかり	3
まさに	事実	4.6
頑として	断じて	6.6
しっかり	必ず	6.4
しっかりと	いっそう	3.2
さほどは	さほど	8.6
総じて	概して	7.6
ぐっと	急に	4
色々と	しばしば	3.4
ずっと	劇的に	4
色々と	頻繁に	4.6
しょせん	しょせんは	8.8
何とも	何故だか	5.2
既に	もはや	7.2
断固	頑として	7.6
概ね	総じて	7.4
おおむね	全般的に	7.6
総じて	一般に	7.6
どうにか	なんとか	7.4
まさに	正しく	7.4
ぎりぎりで	辛うじて	7.4
いっせいに	大量に	5.4
全般的に	概して	7.4
ほぼ	だいたい	7.6
何かと	とかく	6.2
丸ごと	完全に	6
丸ごと	ありのままに	4.6
さも	まことに	3.8
だいたい	主に	7.2
まるで	いかにも	6.8
本当に	絶対に	5
全体的に	あらかた	7
とっくに	今や	4.4
順に	逐次	7.8
確実に	断固	5.6
少し	わずかばかり	7
びっしり	ぎっしり	7.6
多くが	全体的に	7.8
一斉に	荘厳に	1.6
十分に	思いっきりに	5.6
ぐんと	いっそう	4.6
今や	きょうび	6.8
まあまあ	少し	5.6
どうやら	なんせ	4.8
わずかに	いささか	6
時々	時おり	7.8
どうやら	何しろ	4
今では	きょうび	7
全部	丸ごと	9
やや	いささか	5.4
あらかた	トータル的に	6.6
もはや	すでに	8
ぜんぜん	たいして	5.8
特に	専ら	5.2
絶対	確実に	9
どうか	なんとか	7.2
度々も	頻繁に	6.8
よく	たびたび	7
すでに	既に	10
時々	常に	1.4
たくさん	大胆に	3.6
かなり	しっかりと	4
全て	そのままを	4.6
主として	専ら	8.2
たくさん	思う存分に	6
しっかりと	十分に	7.2
全般的に	全て	8.2
ぎっしり	ぎっしりと	9.8
必ず	頑として	4
一般的に	総じて	7.6
時々	頻繁に	1.2
特に	主に	5.6
わずかに	かすかに	8.4
きっぱり	頑として	8.2
もう	すっかり	6
全部	何もかも	8.8
何とぞ	なんとか	8.8
それほど	さほど	8.8
現在は	もはや	4.8
何もかも	ありのままに	5.4
そのままを	ありのままに	8.4
さほど	大して	8
まるで	あたかも	8
まさしく	さも	4.6
よく	たまに	1
まるで	さも	7.2
常に	度々	5.6
どうせ	結局	6.8
結局は	しょせんは	7.6
だいぶ	かなり	8.4
今では	既に	5.2
いかにも	あからさまに	5.6
少々	若干	8.6
いっぱいに	たくさん	8.8
大量に	細密に	2.2
充分に	精一杯	6.4
今では	いまや	8.4
どうせ	どだい	7.6
まさに	実際に	5.2
時々	しばしば	5
かなり	いささか	2.4
きっぱり	断じて	8.2
一段と	急に	5.8
総じて	トータル的に	9
どうにか	辛うじて	8.4
ぎりぎり	辛うじて	8.4
ぐんと	しっかりと	5.2
もはや	現在では	6
急に	ずっと	0
少し	多少	6.2
確実に	断然	6
まったく	どうにも	7
必ず	絶対に	9.2
次々	順に	7.4
よく	しょっちゅう	8.6
それほど	そんなには	8.6
結局は	所詮	8.2
常に	頻繁に	8
しばしば	度々	7.8
とても	しっかりと	6.6
すべて	丸ごと	9.2
今も	現に	6
絶対	断然	7.6
全体的に	全体として	9.2
あまり	そんなには	8
本当に	断固	5.4
すでに	実際	3.8
なんにも	何とも	6.8
大幅に	随分	7.6
しっかり	断然	6.2
本当に	しっかり	3.4
結局は	結果的に	8.2
十分に	充分に	9
ひたすら	専ら	5.8
ぎっしり	細密に	7.6
よく	時々	1.8
とても	いっそう	5.6
概ね	概して	8.4
少々	少し	9.2
もちろん	絶対に	7.2
何とか	ぎりぎり	7.2
何しろ	なにせ	9
全部	すべて	9.6
一段と	劇的に	6.8
どうか	どうにか	4.4
たくさん	多々	9
現に	事実上	7.2
まさに	正に	10
ぎっしり	いっぱい	9
ぐっと	一段と	7.4
度々	時として	4.2
概して	だいたい	8
時々	時として	8.8
すでに	すっかり	5.4
少々	いくばくか	7.2
かすかに	少しばかり	7.6
無論	当たり前に	7.4
とにかく	なにせ	7.8
常に	しばしば	3.2
すべて	ありのまま	6.8
すでに	現に	5.6
今では	もはや	7.2
頻繁に	時おり	1.4
やや	少し	7.2
度々	時折	6.2
順次	随時	5
頑として	確実に	5.2
まるで	いわば	6.4
さらに	大幅に	6.6
本当に	必ず	8
どうにも	どうしても	6.6
しばしば	しきりに	4.2
何しろ	どうにも	4.4
たくさん	大量に	9.2
いっぱいに	ずらりと	7.4
もう	いまや	8
何とも	なんとも	10
わずかに	若干	8.8
断じて	断然として	7.2
さらに	一層	8.6
まるで	あからさまに	6.4
そんなにも	さほど	8.2
常に	たびたび	4.8
基本的に	おしなべて	7.4
なんだか	どうにも	8
いっぱい	盛大に	8.2
すでに	実際に	3.6
何しろ	何せ	9
なんだか	どうしても	4.2
絶対に	断固	8
全部	総じて	8.6
全て	完全に	8.2
断固	毅然と	8.2
あまり	たいして	8.2
全体的に	全て	8.6
全部	丸々	9.4
たまに	頻繁に	1.8
主に	ただただ	2.8
とっくに	既に	9
ぐんと	一気に	8.6
たくさん	窮屈そうに	3
実際に	事実上	8.4
かなり	結構	8.6
ぐっと	ぐんと	8.2
しばしば	頻繁に	7.2
おおむね	概して	8.8
なんせ	とにかく	6.2
そのまま	全部	8.2
今も	現在も	9.6
よく	専ら	7
ぎっしり	たくさん	9
そんなには	たいして	8.2
かなり	ぐんと	8
にこやかに	にんまりと	7.2
にっこりと	にんまりと	7.4
そんなに	あまり	8.4
そのまま	すべて	7.4
さも	実に	5.2
よく	結構	8.8
だいぶ	一段と	7.8
特に	ひたすら	4.6
勿論	当たり前に	7.8
ずっと	随分	6.8
本当に	実際に	7.2
ぜんぜん	さほど	7.4
本当に	絶対	8.2
だいたい	総じて	8.4
全部	一般に	5.4
時おり	まあまあ	4.6
やっと	やっとこさ	9
しっかりと	一段と	6.2
昨今は	もはや	5
十分に	思う存分に	7.6
ほとんど	全般的に	7.8
なんせ	なにしろ	8.6
いっぱい	窮屈そうに	6.6
ぐんと	非常に	5.2
たくさん	ぎゅうぎゅうと	8
十分に	大胆に	3.2
すでに	今では	7.8
充分に	思いっきり	7.6
どうしても	いかにも	5
ほとんど	主として	6.8
きっぱり	確実に	5.4
かすかに	いささか	3.8
たくさん	ずらりと	7
いささか	若干	5.6
しっかり	絶対に	6.8
そのまま	丸々	9
多くが	全般的に	7.8
びっしり	たくさん	8.8
全て	概ね	7.8
全部	全体的に	8.6
いかにも	まさに	7.2
だいぶ	ぐんと	7
かすかに	多少	4.4
そんなに	そんなにも	7.6
思いっきりに	充分に	8.4
よく	しきりに	8.4
昨今や	今や	5.2
だいたい	専ら	6.8
かなり	非常に	8.2
いささか	いくばくか	6.8
今では	よもや	1.8
それほど	大して	8
頻繁に	結構	7.8
よろしく	何とぞ	5
全体的に	総合的に	8.4
しっかり	断固	7.6
時折	頻繁に	3
ぎゅうぎゅうと	びっしり	9
とっくに	今では	4.8
ぎっしり	大量に	8.4
よろしく	何とか	4.4
わずかに	少々	8.6
全部	全て	9.6
ずっと	いっそう	4.8
多々	いっせいに	4.6
ずらりと	ぎっしりと	8.2
そのままを	丸ごと	9.2
さながら	あたかも	7.6
実際に	現に	8.6
度々	かなり	5.2
順次	逐次	8.6
十分に	タップリと	9.2
たくさん	思い切り	7.6
少し	なかなか	3.2
一気に	ずっと	4
ぐっと	一層	7.6
辛うじて	辛くも	8.8
全部	ありのままに	7.6
かなり	急に	5.2
絶対	完全に	7.2
絶対に	断じて	8.4
常に	専ら	6.6
たいして	さほど	8.4
とても	非常に	8.4
全体的に	総じて	9
かなり	少しばかり	1
本当に	すでに	2.8
ほとんど	一般的に	6.4
少しばかり	いささか	7.4
たまに	時々	8.6
よく	しばしば	8.2
とにかく	何しろ	8
今も	すでに	6.8
一般に	概して	8.2
まさしく	まさに	9
今では	現在は	9.2
主に	ひたすら	5.6
いっせいに	盛大に	5.8
しょっちゅう	結構	7
今	実際に	3.2
まさしく	明らかに	7.2
きっぱり	断然	7.2
絶対に	断然	7.8
時々	しきりに	5.2
それほど	そんなに	8.8
断固	断然	8.4
現在	実際	4.6
総じて	全体として	9
しょせんは	結果的に	5.8
頻繁に	しきりに	8.2
いかにも	まったく	4.8
常に	しきりに	6.2
ぎっしりと	びっしりと	9
概ね	おしなべて	8.6
ほぼ	常に	5.6
いまや	よもや	3.6
今では	昨今は	4.8
ちょっと	いくばくか	7.4
ぐんと	一層	7.6
タップリと	思う存分に	8
たくさん	充分に	8.2
たくさん	盛大に	7.6
しっかりと	ずっと	3.2
よもや	もはや	4.8
無論	確実に	4
しっかり	きっぱり	6.6
ずらり	ぎっしり	7
結構	時おり	3.6
いっぱい	多数	8.4
しばしば	かなり	6.8
よろしく	どうか	5.2
何とぞ	何とか	7.6
どうせ	結局は	8.4
びっしり	ぎゅうぎゅうに	8.4
それほど	ぜんぜん	5.8
いっぱいに	ぎっしり	8.2
絶対に	勿論	5.6
概して	多くが	4.8
かなり	少し	0.2
とにかく	どうやら	1.6
しっかりと	タップリと	5
全体的に	基本的に	5.2
そんなに	そんなには	6.2
何かと	たびたび	5.6
何かと	頻繁に	5.4
もはや	すっかり	5.2
時々	まあまあ	5
あたかも	いわば	3.4
すっかり	さも	2.4
いかにも	あたかも	5.4
だいぶ	いっそう	4.4
もちろん	当たり前に	7.4
あらかた	概ね	8.8
なんとか	辛くも	6.6
思い切り	充分に	5
さも	あたかも	8.4
少々	なかなか	2
多々	いっぱい	7
結構	まあまあ	5.4
ずっと	ぐっと	3
頑として	断然として	6.6
何とか	やっとこさ	8.2
わずかに	少しばかり	8.6
びっしりと	たくさん	7
たいして	大して	9.8
いかにも	まさしく	8.2
こんがり	こんがりと	9.4
ずらりと	いっせいに	6.2
いささか	わずかばかり	7
何かと	度々	4.8
今や	昨今は	3.8
現在	現に	3.6
とにかく	どうにも	3.2
たくさん	思いっきり	4
やはり	まことに	4.6
ぎっしり	窮屈そうに	5.6
全部	完全に	7
今も	現在	6.2
色々と	たびたび	4.4
たびたび	頻繁に	8
にっこり	にんまり	7.8
にこにこ	にんまり	7.8
色々と	いろいろと	10
ぐんと	急に	7.4
きょうび	もはや	3.6
だいたい	一般に	6.8
今も	実際に	2.8
すでに	現在では	5.2
なんとか	辛うじて	8.4
よく	度々	8.2
そのまま	何もかも	2.8
かすかに	若干	7.2
少しばかり	ちょっと	7.2
そのまま	そのままを	7.6
そのまま	ありのままに	7.8
いっぱいに	ぎゅうぎゅうに	7.6
多々	盛大に	4.6
さながら	まるで	7
何とか	辛うじて	8.2
今日では	現在では	9
ほとんど	だいたい	8.8
全部	ありのまま	6
しょっちゅう	かなり	7.4
結局	しょせんは	6.6
だんだん	順に	5.4
概して	一般的に	7.8
ニコニコ	にんまり	7.4
今や	現在は	7.4
たびたび	時折	5.2
全体的に	トータル的に	9.4
必ず	完全に	6.2
明らかに	あからさまに	6.8
もう	今では	6.2
主に	常に	5.6
とっくに	いまや	5.8
だんだん	順次	7.2
きょうび	現在では	7
さらに	ぐんと	6.4
全般的に	総じて	8
さながら	いわば	6
しばしば	結構	6.8
すでに	よもや	2.4
とても	大幅に	7
すでに	いまや	7
ずらりと	一斉に	7.2
きっぱりと	絶対に	5
本当に	実際	7
今や	いまや	10
多々	ずらりと	5.6
どうにか	やっと	8
いっそう	一層	10
いっぱいに	びっしりと	8.2
色々と	何分	2.4
急に	劇的に	6.8
ありのまま	丸ごと	7
絶対	断固	7.2
ぎりぎりで	やっと	6
まるで	まさしく	6.8
ずらりと	整然と	4.2
もちろん	当然	8.2
たまに	しばしば	3.2
少しばかり	若干	8.2
必ず	きっぱり	5.8
どうにも	何とも	7
一般に	概ね	8.6
しっかりと	思う存分に	5.8
総じて	総合的に	8.2
勿論	無論	9.2
まったく	なんとも	3.8
やはり	さも	3.6
なにせ	どうやら	4
いささか	なかなか	2.2
時々	時折	8.6
たくさん	ずらり	7
一気に	劇的に	7.6
少し	若干	7.6
何とか	ぎりぎりで	6.4
結局は	結局	9
充分	いかんなく	7.2
ぜんぶ	丸々	8.4
少々	わずかばかり	8.2
しょせん	どうせ	8
多々	大量に	7.2
頑として	断然	6.8
まさに	現に	7.4
ぎっしりと	細密に	4.6
どうにも	いかにも	3.2
現在	すでに	6.6
今	現在	9
にこやかに	にこにこ	8.6
にっこりと	にこやかに	9
全体的に	一般的に	6.8
さらに	とても	4.8
いっぱい	大量に	8
たくさん	整然と	2.4
とても	急に	2.2
たまに	結構	1
ぜんぜん	さほどは	3.8
そのまま	ありのまま	6.6
あまり	そんなにも	5.8
だいたい	常に	3.8
かなり	いっそう	3.6
少し	少しばかり	7.6
多少	いささか	6.8
もちろん	無論	8.8
やっと	辛うじて	7.8
たびたび	しきりに	7.6
ぎっしりと	大量に	6.6
どうせ	所詮	7.4
ほとんどが	ひたすら	1
一段と	一層	7.6
今も	本当に	2.2
きっぱり	毅然と	7.6
時々	結構	1.8
だいたい	主として	6.2
非常に	急に	3.6
だいたい	全体的に	6
急に	一気に	6.4
びっしりと	ずらりと	6.2
ずらりと	大量に	5.8
ぐっと	とても	5
しょせん	所詮	10
時々	たびたび	4
それほど	さほどは	8.2
全て	概して	6
もう	とっくに	6.8
それほど	たいして	7
たまに	時おり	8.2
度々	しょっちゅう	8.4
いっぱいに	ぎっしりと	7.4
今では	今は	6.6
きっぱりと	断じて	6
だいぶ	ずっと	4.8
概して	ほとんど	6.8
いっぱい	いっせいに	3
ほとんど	多くが	8.2
全て	一般に	5.6
ほぼ	主に	6.6
大量に	整然と	1.6
現在は	現在では	8
確かに	無論	7.2
今も	実際	4.8
思い通り	充分	2.4
正に	いかにも	5.8
ぐっと	大幅に	6.2
どうにか	やっとこさ	8.8
もう	既に	8.2
何かと	何分	7.8
ほぼ	専ら	7.4
今は	現在は	9.2
しっかり	確実に	7.6
既に	いまや	7
何しろ	なにしろ	10
今現在	もはや	5.4
次々	随時	4.6
全部	概ね	6.8
たびたび	しばしば	7.2
何かと	しばしば	2.8
思いっきり	精一杯	7.2
さらに	ずっと	2
少しばかり	結構	1
いかにも	まことに	5.6
しっかり	頑として	5.6
とにかく	ともかく	9
にっこり	ニコニコ	8.6
何かと	いろいろと	6.2
さらに	いっそう	8
全て	ありのままに	5.2
たいして	そんなにも	6.6
いっそう	一段と	7.6
なにせ	なんせ	9.6
ぐんと	随分	5
そんなには	さほど	7.4
少し	かすかに	7.6
丸ごと	丸々	9.4
しばしば	時として	3.8
やはり	まさしく	5.8
順に	随時	3.8
まさしく	まことに	7.4
頻繁に	まあまあ	3.2
もう	現在では	6.6
ちょっと	なかなか	4.4
概して	全部	5.8
全体として	全て	6.2
必ず	きっぱりと	3.4
ほとんど	常に	6.6
全般的に	一般的に	6.8
ほとんど	ほぼ	7.6
現在	実際に	5.2
まるで	明らかに	2.8
既に	今や	6.4
あたかも	まことに	3.2
ぐんと	一段と	7
必ず	断固	6.6
絶対に	確実に	5.4
ぎりぎり	なんとか	7.4
あからさまに	さも	5
ほとんどが	ただただ	1.6
すべて	全て	10
なんとか	ぎりぎりで	7.2
偏に	専ら	7.6
ニコニコ	ニンマリ	7.8
どうにも	どうとも	8.2
大量に	盛大に	5.4
だいたい	一般的に	6.2
断じて	断固	7.6
これぞ	いかにも	4.6
しばしば	時おり	4.2
思い切り	大胆に	7.2
現に	事実	7.6
まさしく	あからさまに	4.8
とても	ずっと	5.2
総じて	基本的に	5.6
辛うじて	ようやく	6.6
いささか	ちょっと	7.6
ぎりぎり	辛くも	7.4
きっぱりと	毅然と	8.2
今では	現在では	8.8
少し	結構	1.8
当然	勿論	7.6
やっと	何とか	7.6
必ず	絶対	8.2
びっしりと	整然と	3.2
何とか	どうにか	6.6
辛うじて	やっとこさ	7.6
ぜひとも	何とか	4
ほとんど	ひたすら	1.2
よく	かなり	6.6
主に	主として	7.6
さらに	ぐっと	5.8
なんとか	やっと	8
とっくに	よもや	2.6
どうか	ぜひとも	7
もちろん	確実に	4.8
よく	頻繁に	7.8
ぜひとも	何とぞ	8
あまり	それほど	7.2
今は	現在では	8.2
大幅に	劇的に	7.6
どうにも	何故だか	4.2
ぐっと	劇的に	7.8
それほど	そんなにも	7.4
自由に	思い通りに	7
総合的に	全て	6.4
多くが	一般的に	6.6
一気に	大幅に	7.4
絶対に	無論	5.2
たびたび	度々	10
なんとか	やっとこさ	8.4
思い切り	十分に	7
いささか	まあまあ	3.4
主に	偏に	5
今	現に	6.6
いっぱいに	びっしり	7.2
全て	何もかも	7
全体的に	概して	8
かなり	ずっと	5.2
