word1	word2	mean(remove_extreme_annotator)
気持ちのいい	清々しい	6.6
気持ちのいい	気持ちよい	9.4
気持ちのいい	快い	7.6
気持ちのいい	気持ち良い	9.4
気持ちのいい	心地良い	8.2
気持ちのよい	気持ちいい	8
気持ちのよい	清々しい	7.2
気持ちのよい	心地よい	7.8
気持ちのよい	気持ち良い	9.4
気持ちのよい	快い	7.8
気持ちのよい	気持ちよい	9.4
気持ちのよい	心地良い	8.2
気持ちの良い	快い	7.2
気持ちの良い	気持ちよい	9.4
気持ちの良い	清々しい	7
気持ちの良い	ちょうど良い	5
気持ちの良い	気持ち良い	9.4
気持ちの良い	心地良い	8
気持ちの良い	気持ちいい	9.4
気持ちよい	たまらない	5
気持ちよい	ちょうど良い	6
気持ちよい	心地よい	8.2
気持ちよい	心地良い	8
気持ちよい	気持ちいい	9.4
気持ちよい	心地いい	8.2
気持ちよかった	心地よかった	8
気持ちよく	快く	6.6
気持ちよく	気前よく	4.4
気持ちよく	気分よく	7
気持ちよく	心地よく	7.4
気持ち良い	気持ちよい	9.4
気持ち良い	たまらない	6.2
気持ち良い	ちょうど良い	6
気持ち良い	心地良い	8
気持ち良い	心地よい	8
気持ち良い	気持ちいい	9.6
気持ち良く	快く	7
気持ち良く	気分よく	6.6
気持ち良く	心地よく	8
気持ち良く	気持ちよく	9.8
気持ち良く	気持よく	10
気持よかった	気分よかった	7.8
気持よく	気分よく	7.8
気前よく	気分よく	6.6
気難しい	難しそう	5.4
気難しい	険しい	5.2
気難しい	厳しい	5.4
気不味い	良くない	4.2
気不味い	苦しい	3.4
気分が悪く	居心地悪く	5.8
気分が悪く	気分悪く	8.8
気分のいい	快い	7.4
気分のいい	気持ちよい	8.4
気分のいい	清々しい	7.4
気分のいい	心地良い	7.8
気分のいい	気持ち良い	8.4
気分のよい	気持ちいい	7.4
気分のよい	快い	7.8
気分のよい	気持ち良い	8.4
気分のよい	気持ちよい	8.4
気分のよい	心地良い	8
気分のよい	心地よい	8.2
気分のよい	清々しい	7.2
気分の悪い	苦しい	6.8
気分の悪い	良くない	6.2
気分の悪い	気不味い	4.2
気分の悪い	気まずい	4.8
気分の悪い	うっとうしい	5.8
輝かしい	すごい	5.4
輝かしい	良い	5.4
輝かしい	よい	5.4
輝かしい	すばらしい	7.2
輝かしい	明るい	6.4
輝かしい	素晴らしい	7
輝かしく	華々しく	7
疑わしい	怪しい	7.6
疑わしく	怪しく	6.6
疑わしそう	いぶかしげ	6.4
疑わしそう	あやしそう	7.8
疑わしそう	怪しそう	8
久しい	懐かしい	6.2
久しい	長い	6.2
久しい	長くなる	5.6
久しく	長く	6.4
居づらそう	ばつの悪そう	6.2
居づらそう	居心地の悪そう	7.4
居づらそう	居辛そう	10
居心地がわるい	良くない	3
居心地がわるい	気まずい	6.8
居心地が悪い	良くない	5.6
居心地が悪い	居づらい	8
居心地が悪い	苦しい	6.2
居心地が悪い	気まずい	7.4
居心地が悪く	よそよそしく	5
居心地が悪く	気まずく	7.2
居心地が悪く	居づらく	7.8
居心地の悪い	良くない	5.4
居心地の悪い	気まずい	7.4
居心地悪く	気分悪く	5.8
居辛そう	ばつの悪そう	6
居辛そう	バツの悪そう	6.8
虚しい	しょぼい	4.6
虚しい	あっけない	6
虚しい	さびしい	6.2
虚しい	侘しい	7
虚しい	寂しい	6.6
強い	激しい	4.6
強い	強すぎる	6
強ばらせる	厳つくする	4
強ばらせる	恐ろしくする	2.2
強ばらせる	いかつくする	5
恐ろしくする	怖くする	5.6
狭苦しい	きつい	6
狭苦しそうな	小さな	5.6
狭苦しそうな	狭い	6.8
苦しい	つらい	7
苦しい	難しい	5.2
苦しい	厳しい	5.8
苦しい	悲しい	4.2
苦しい	良くない	4.8
苦しく	切なく	5.6
苦労なく	たやすく	6.6
激しかった	早かった	2
激しく	大きく	4.6
激しく	強く	5.8
隙間なく	余すところなく	7.6
堅苦しげな	堅苦しい	7.8
堅苦しげな	息苦しい	6.2
肩身の狭い	堅苦しげな	4
肩身の狭い	息苦しい	5
賢い	正しい	5.4
賢い	良い	6.4
険しい	難しい	5.2
険しい	きつい	6.8
険しい	厳しい	6.8
険しかった	とげとげしいかった	6
険しく	厳しく	5.8
険しく	怖く	3.2
険しくする	厳しくする	4.6
厳しい	激しい	5.4
厳しく	厳しくて	8
厳しくする	厳つくする	5.6
厳つくする	恐ろしくする	6.6
厳つくする	怖くする	6.2
厳つくする	険しくする	6.6
言うまでもなく	いうまでもなく	10
胡散臭い	怪しい	7
胡散臭い	疑わしい	6.4
後退した	おかしくなった	1.2
好ましい	よい	6.6
好ましい	正しい	5.2
好ましい	良い	6.4
広がった	広くなった	6.6
広くなった	大きくされた	7.4
広げた	緩くした	4.8
広げた	ゆるくした	5.8
慌ただしく	うるさく	5.4
慌ただしく	騒がしく	6
甲高い	うるさい	4.8
甲高い	すごい	1.4
甲高く	慌ただしく	1.8
甲高く	大きく	4.6
甲高く	激しく	4.8
甲高く	騒々しく	6.2
甲高く	うるさく	5.8
甲高く	騒がしく	6.4
荒々しい	丁寧ではない	4.2
荒々しい	危ない	3
荒々しい	荒い	6.8
荒々しい	激しい	7
荒々しい	荒っぽい	6.6
荒々しく	怖く	2.2
荒々しく	厳しく	2.4
荒々しく	激しく	5.4
荒々しく	険しく	4.8
荒い	丁寧ではない	6.4
荒っぽい	激しい	5
荒っぽい	危ない	3.4
荒っぽい	荒い	6
荒っぽく	激しく	6.4
荒っぽく	荒々しく	7.2
香ばしい	芳しい	6.8
香ばしい	美味しそうな	5.2
香ばしい	香り高い	7
香ばしく	芳しく	8
香ばしく	かぐわしく	7.6
香ばしく	香り良く	7.8
香ばしく	香り高く	8
香ばしく	香りよく	8
香ばしくて	芳ばしくて	8.4
根性無し	いくじなし	8.2
細かく	余すところなく	5.4
細かく	隙間なく	5.4
細かく	詳しく	7.4
邪魔くさい	煩わしい	8.8
邪魔くさい	うとましい	7.6
弱々しい	情けない	3
弱々しい	貧しい	4
弱々しい	少ない	4
弱々しい	細い	4.6
弱々しい	小さい	3.2
弱々しい	弱い	6.4
弱々しい	乏しい	5.2
弱々しい	か弱い	7.6
弱い	壊れやすい	7.2
弱い	あまりない	4.2
弱い	割れやすい	5.6
弱くなった	弱体化した	8.4
弱弱しい	弱い	7
弱弱しい	割れやすい	4
弱弱しい	小さい	5.8
弱弱しい	細い	5.8
弱弱しい	力ない	7.8
弱弱しい	か弱い	8.4
弱弱しい	もろい	8
弱弱しい	崩れやすい	7.4
弱弱しい	弱々しい	10
手加減のない	厳しい	7.2
手厚く	礼儀正しく	3.8
手荒い	荒々しい	6.6
手荒い	荒っぽい	8.2
手早く	早く	7.2
手早く	すばやく	7
手早く	手際よく	7.6
手早く	素早く	7.2
所狭しと	隙間なく	8.2
暑苦しく	じゃまくさく	4.8
暑苦しく	うっとうしく	5.2
小さい	弱い	5.6
小さな	つつましやかな	4.4
小高い	高い	4.4
少し高い	高い	4.2
少ない	貧しい	4.6
少ない	乏しい	7.2
少ない	弱い	4.2
上手に早く	手際よく	8.2
情けない	恥ずかしい	5
情けない	根性無し	5.8
情けなかった	みっともなかた	6.8
情けなかった	悲しい	4.8
情けなかった	意気地なしだった	5.4
情けなかった	恥ずかしかった	5.4
情けなかった	かっこわるかった	6.8
情けなかった	不甲斐なかった	6.2
情けなかった	嘆かわしかった	7
情けなかった	いくじなかった	6.4
情けなく	恥ずかしく	4
情けなく	みっともなく	6.4
情けなく	虚しく	5
情けなく	不甲斐なく	6.2
色濃くなる	強く出る	7.2
侵された	弱くなった	3.4
心苦しい	苦しい	5.8
心苦しい	心憂い	6.6
心苦しい	しんどい	5
心苦しい	きつい	5
心苦しい	つらい	5.6
心苦しい	切ない	5.6
心苦しい	辛い	5.6
心苦しく	寂しく	4.2
心苦しく	悲しく	5
心苦しく	切なく	5.4
心苦しく	辛く	5.2
心苦しく	つらく	5.4
心地の悪い	居づらい	8.4
心地の悪い	気まずい	6.4
心地よい	気持ちいい	8
心地よい	ちょうど良い	6
心地よかった	気分よかった	8.4
心地よかった	気持よかった	9.4
心地よく	気分よく	8.4
心地よく	気持よく	9.4
神々しい	輝かしい	5.2
辛い	苦しい	8
辛い	きつい	7.8
辛い	難しい	4.8
辛い	厳しい	6.6
辛い	心憂い	6.4
辛い	つらい	10
辛抱できない	早くしてほしい	7.2
凄い	素晴らしい	5
凄い	すごい	10
凄まじい	強すぎる	6.2
凄まじい	激しい	6
凄まじかった	激しかった	7.4
凄まじかった	すごかった	8.8
正しい	良い	6.2
正しい	願わしい	4.2
正しい	より良い	5.2
清々しい	心地良い	6.2
清々しい	気持ちよい	7.4
清々しい	気持ち良い	8.2
清々しい	快い	8.2
清々しい	清い	8
脆く	もろく	9.8
切ない	心憂い	6.8
切ない	苦しい	5
切ない	寂しい	6.4
切ない	つらい	4.8
切ない	悲しい	5.6
切ない	辛い	5.6
切なく	寂しく	5.4
切なく	辛く	5.2
切れ目なく	隙間なく	6.6
折悪しく	運悪く	7.6
浅い	少ない	4.2
素晴らしい	明るい	2.8
素晴らしい	すごく良い	7.8
素晴らしい	すごい	6.4
素晴らしい	よい	7.8
素晴らしい	良い	7.2
素晴らしい	すばらしい	10
素早い	早い	8
素早く	手際よく	6.8
素早く	速く	7.2
素早く	早く	8
早く	手際よく	6.2
騒々しい	激しい	5
騒々しい	すごい	3
騒々しい	うるさい	8.4
騒々しく	大きく	5.2
騒々しく	けたたましく	7.2
騒々しく	激しく	5.6
騒々しく	慌ただしく	5.2
騒々しく	騒がしく	9
騒々しく	うるさく	8.8
騒がしい	甲高い	4.6
騒がしい	騒々しい	8.6
騒がしい	うるさい	8.4
騒がしい	すごい	1.4
騒がしく	激しく	4.2
騒がしくなっている	波だっている	1.8
憎々しく	腹立たしく	7.6
憎々しく	苦々しく	6
憎々しくもあり	苦々しくもあり	5.2
憎々しげ	苛立たしげ	6
憎々しげ	憎らしげ	8.4
憎々しげ	いまいましげ	7.4
憎々しげに	腹立たしく	7.4
憎々しげに	憎々しく	8.4
憎たらしい	腹立たしい	8.2
憎らしげ	苛立たしげ	7
憎らしげ	いまいましげ	7.4
憎憎しく	腹立たしく	7.4
息苦しそうな	きつい	5.6
速く	早く	6.4
速く走る	爆走する	7.2
待ちこがれる	早く来てほしい	5.6
待ちわびる	早く見たい	6.4
待ち遠しい	早く見たい	7.2
待ち遠しい	早くしてほしい	7.2
待ち遠しい	早く来てほしい	8
待ち遠しい	早く来て欲しい	7.8
待ち遠しく	恋しく	6.2
待ち遠しく	早く来てほしく	7.4
待ち焦がれた	早く来てほしい	4.6
大きい	広い	7
大きくされた	広くされた	6.4
大きくなった	広がった	5.8
大きくなった	広くなった	6.2
嘆かわしい	恥ずかしい	6.2
弛ませた	緩くした	6.4
弛ませた	ゆるくした	6.4
恥ずかしかった	嘆かわしかった	4.4
恥ずかしかった	悲しい	2.8
恥ずかしく	虚しく	3.8
張り合いがなく	あっけなく	6.8
痛ましい	切ない	5.4
頭のいい	より良い	3
頭のいい	賢い	7.2
頭のいい	正しい	4.2
頭の悪い	馬鹿馬鹿しい	5
頭の良い	正しい	4.4
頭の良い	より良い	4.4
難しい	厳しい	6
馬鹿らしい	あほらしい	8.6
薄い	あまりない	3.2
煩く	けたたましく	6.4
煩く	激しく	5.6
煩く	甲高く	6.6
煩く	騒々しく	8
煩く	うるさく	9.2
煩わしい	難しい	3.6
煩わしい	気持ち悪い	2.6
煩わしい	面倒くさい	6.8
煩わしい	うっとうしい	8.8
煩わしく	うっとうしく	8.4
煩わしく	じゃまくさく	8.2
悲しい	嘆かわしい	6.6
悲しく	寂しく	6
悲しく	切なく	5.2
悲しく	辛く	5.2
悲しげ	切ない	5.6
美しく見える	美しい	7.6
美味しそう	香りよく	3.8
病んだ	弱くなった	5.6
貧しい	ない	5
貧しい	無い	4.6
不甲斐ない	情けない	7
不甲斐なく	みっともなく	7.6
不正の無い	厳しい	4.6
腹立たしい	悔しい	6.4
腹立たしかった	憎たらしかった	7.6
腹立たしく	苦々しく	5.6
腹立たしげ	憎々しげ	5.6
腹立たしげ	苛立たしげ	7.4
腹立たしげ	憎らしげ	7.2
腹立たしげ	いまいましげ	7.2
物凄い	すさまじい	7.8
物凄い	凄い	7
物凄い	激しい	5
物凄い	驚くほど激しい	7.2
物凄い	すごい	7.8
物凄い	ものすごい	10
物凄かった	激しかった	7.4
物凄かった	凄まじかった	8.6
物悲しい	辛い	6.4
物悲しい	やるせない	7.2
物悲しい	心憂い	6.6
物悲しい	つらい	6.4
物悲しい	悲しげ	7.6
物悲しい	切ない	6
物悲しい	心苦しい	5.8
物悲しく	切なく	6.8
紛らわしい	難しい	4
雰囲気が悪く	気まずく	7.4
雰囲気が悪く	気分悪く	5.6
雰囲気が悪く	居心地悪く	7.6
雰囲気が悪く	煙たく	4.4
崩れやすい	弱い	6.6
芳しい	香り高い	7
芳しい	好ましい	4.8
芳しい	良い	5.2
芳ばしい	いい	5.8
芳ばしい	美味しそうな	5.6
芳ばしい	美味しい	6.6
芳ばしい	香ばしい	8.6
芳ばしく	香ばしく	9.2
芳ばしく	香りよく	8.8
乏しい	細い	4.2
乏しい	薄い	4.6
乏しい	弱い	4.4
乏しい	あまりない	6.8
乏しい	浅い	5.4
乏しい	ない	4.8
乏しい	貧しい	7.4
乏しい	無い	5
乏しい	小さい	5
乏しき	貧しき	8.2
乏しく	少なく	6.2
望ましい	うれしい	4.2
望ましい	願わしい	7.6
望ましい	好ましい	7.2
望ましい	正しい	5
望ましい	よい	6.4
望ましい	ふさわしい	6.6
望ましい	良い	6.4
面倒くさい	わかりにくい	4.6
面倒くさい	細かい	4
面倒くさく	ややこしく	6.2
面白い	楽しい	6.8
面白い	興味深い	6
面白い	おかしい	7.6
面白おかしく	楽しく	7.6
面白おかしく	面白く	8.4
面白おかしく	おもしろおかしく	10
面白おかしくて	面白くて	8.6
面白く	楽しく	7
乱れる	激しくなる	5
良い	願わしい	5.6
良い	よい	10
力ない	小さい	4.2
力強い	強い	7.6
恋しい	切ない	5
恋しい	寂しくなる	3.8
和らげた	緩くした	5.6
侘しい	寂しい	7.4
侘しい	むなしい	7.4
侘しい	さびしい	6.6
細かく	詳しく	8.6
あっけなく	たやすく	7.2
いい加減だ	荒っぽい	5.2
いかつくする	厳しくする	5.6
うっとうしい	気持ち悪い	5.4
うっとうしく	わずらわしく	7.6
うるさい	激しい	5.4
うるさく	大きく	6
うれしい	好ましい	6
おいしく	香ばしく	5.6
おどろおどろしい	すさまじい	5.2
かっこわるかった	根性なしだった	5.8
かっこわるかった	いくじなかった	5.6
かなしい	寂しい	7.4
か細い	弱い	7.4
か細い	小さい	6.6
か細い	細い	8.8
か細い	細かい	5.4
か弱い	小さい	6.6
きつい	難しい	7.4
きめ細かく	詳しく	8.6
けたたましい	激しい	7.4
しけている	騒がしくなっている	4.8
すがすがしい	神々しい	4.6
すがすがしい	華々しい	4.6
すごい	激しい	7
すごい	うるさい	5
すさまじい	ひどい	6.2
すさまじい	恐ろしい	6.4
すさまじい	騒々しい	5
すさまじい	うるさい	5.6
すさまじい	強すぎる	6.2
すさまじい	激しい	7.6
すさまじい	騒がしい	6
すさまじい	強い	6.8
すさまじい	ものすごい	8.8
すさまじい	素晴らしい	4.8
すさまじい	どえらい	7.8
すさまじかった	早かった	3.4
つらく	悲しく	7.8
とてつもない	激しい	8.2
とてつもない	すごい	8
ひどい	凄い	7
ひどい	激しい	6.8
ひどい	すごい	7.2
ふさわしい	願わしい	7.4
ほしい	嬉しい	3.6
ほしい	うれしい	3.6
ほしかった	好ましい	5.6
みっともない	悲しい	5
めんどくさく	うっとうしく	8
ものすごい	ひどい	7
ものすごい	激しい	7.8
ものすごい	恐ろしい	6.6
ものすごい	騒々しい	6
ものすごい	どえらえい	8.2
ものすごい	うるさく	6
もろく	千切れやすく	7.2
もろくて	流れやすくて	5.8
やかましい	激しい	5.6
やかましく	大きく	5.4
可笑しげに	おもしろおかしく	9
華々しい	明るい	7.2
華々しい	すごい	6.8
華々しい	よい	6
華々しく	大きく	5.6
我慢できない	早く来てほしい	5.6
快かった	心地よかった	8.6
楽しい	興味深い	6
楽しみな	待ちきれない	8
楽しみな	早くしてほしい	6.8
楽にした	緩くした	8
危ない	荒い	5.8
喜ばしい	素晴らしい	6.8
喜ばしい	明るい	6.6
喜ばしい	ほしかった	5.8
嬉しい	明るい	7
気まずい	良くない	6.6
気まずく	よそよそしく	7
気まずくない	気詰まりしない	6.6
気持ちがいい	気持ちいい	9.2
気持ちよかった	気分よかった	8.6
居づらい	良くない	6.2
居づらそう	バツの悪そう	7.8
居心地がわるい	気不味い	8
居心地がわるい	苦しい	6
居辛そう	居心地の悪そう	9.2
虚しく	あっけなく	6.6
恐ろしい	激しい	5.4
恐ろしい	すごい	5.8
恐ろしくする	厳しくする	6.6
苦々しい	悔しい	6.6
苦々しい	腹立たしい	6.2
苦々しい	憎たらしい	5.8
空々しく	むなしく	5.6
軽い	少ない	6.8
隙間なく	数多く	6.2
肩身の狭い	堅苦しい	4.6
賢い	より良い	6
険しい	激しい	7
険しかった	厳しかった	8
険しかった	鋭かった	6
険しくする	恐ろしくする	5.8
険しくする	怖くする	5.6
厳しく	怖く	7.2
固く	強く	7
好ましい	願わしい	8.6
好ましい	嬉しい	6.8
好ましい	明るい	4.8
慌ただしく	激しく	5.4
甲高く	けたたましく	8.2
荒っぽい	丁寧ではない	8.2
荒れる	激しくなる	7.4
香ばしい	焼けた様な良い	7.2
香ばしい	よい香り	8.4
香ばしい	美味しい	6
香ばしい	いい	6
香ばしくて	香り高くて	8.4
困る	居辛い	6.2
細い	弱い	6.8
細い	小さい	6.2
細かい	小さい	7.2
細かい	細い	7
細かい	難しい	5.6
寂しい	悲しい	6
弱く	千切れやすく	5.6
弱く	崩れやすく	6
弱く	壊れやすく	6.6
弱弱しい	情けない	4.8
弱体化した	おかしくなった	3
暑苦しく	煩わしく	4.6
小さな	狭い	5.6
小高く	少し高く	8.6
心苦しい	悲しい	4.6
心苦しい	難しい	2.8
心地いい	心地良い	9.8
深く	強く	4
神々しい	すばらしい	6.6
神々しい	華々しい	5.4
神々しい	素晴らしい	6.6
辛かった	厳しかった	6.8
辛く	寂しく	4.6
凄い	激しい	7
凄まじい	強い	6
凄まじかった	早かった	3.2
清い	美しい	5.6
清い	澄み切って美しい	7.8
素晴らしい	嬉しい	4.8
早くしてほしい	我慢できない	4.6
早く来てほしい	辛抱できない	4.4
騒々しい	甲高い	5.2
騒々しい	凄い	2.6
息苦しい	狭苦しい	5.2
息苦しい	堅苦しい	5.8
待ちきれない	早く見たい	6.4
待ちきれない	早く来て欲しい	6.2
待ちこがれる	早く見たい	4.8
待ち望む	早く見たい	5
待ち望む	早く来て欲しい	6.2
嘆かわしい	情けない	7.2
調和する	美しく見える	5
痛ましい	悲しい	4.8
痛ましい	苦しい	5.2
低く	礼儀正しく	2.6
難しい	複雑である	6.4
難しそうな	厳しい	5.4
薄い	弱い	4.8
煩わしく	面倒くさく	7.6
微妙に高い	高い	5.2
美味しく	香ばしく	5.6
美味しそうな	いい	4.2
怖くする	厳しくする	3.8
物凄い	騒々しい	5.4
物凄い	すばらしい	5.8
物凄い	素晴らしい	5.8
物凄かった	早かった	3
物悲しい	苦しい	3.6
